#Gen,#Eval,Communication Time,#con1,#con2,Num of feasible individuals
63,12600,-0.98000002,0.01298781,0.28513919,100
64,12800,-0.98000002,0.01298781,0.28513919,100
65,13000,-0.98000002,0.01298781,0.28513919,100
66,13200,-0.98000002,0.01298781,0.28513919,100
67,13400,-0.98000002,0.01298781,0.28513919,100
68,13600,-0.98000002,0.01298781,0.28513919,100
69,13800,-0.98000002,0.01298781,0.28513919,100
70,14000,-0.98000002,0.01298781,0.28513919,100
71,14200,-0.98000002,0.01298781,0.28513919,100
72,14400,-0.98000002,0.01298781,0.28513919,100
73,14600,-0.98000002,0.01298781,0.28513919,100
74,14800,-0.98000002,0.01298781,0.28513919,100
75,15000,-0.98000002,0.01298781,0.28513919,100
76,15200,-0.98000002,0.01298781,0.28513919,100
77,15400,-0.98000002,0.01298781,0.28513919,100
78,15600,-0.98000002,0.01298781,0.28513919,100
79,15800,-0.98000002,0.01298781,0.28513919,100
80,16000,-0.98000002,0.01298781,0.28513919,100
81,16200,-0.98000002,0.01298781,0.28513919,100
82,16400,-0.98000002,0.01298781,0.28513919,100
83,16600,-0.98000002,0.01298781,0.28513919,100
84,16800,-0.98000002,0.01298781,0.28513919,100
85,17000,-0.98000002,0.01298781,0.28513919,100
86,17200,-0.98000002,0.01298781,0.28513919,100
87,17400,-0.98000002,0.01298781,0.28513919,100
88,17600,-0.98000002,0.01298781,0.28513919,100
89,17800,-0.98000002,0.01298781,0.28513919,100
90,18000,-0.98000002,0.01298781,0.28513919,100
91,18200,-0.98000002,0.01298781,0.28513919,100
92,18400,-0.98000002,0.01298781,0.28513919,100
93,18600,-0.98000002,0.01298781,0.28513919,100
94,18800,-0.98000002,0.01298781,0.28513919,100
95,19000,-0.98000002,0.01298781,0.28513919,100
96,19200,-0.98000002,0.01298781,0.28513919,100
97,19400,-0.98000002,0.01298781,0.28513919,100
98,19600,-0.98000002,0.01298781,0.28513919,100
99,19800,-0.98000002,0.01298781,0.28513919,100
100,20000,-0.98000002,0.01298781,0.28513919,100
101,20200,-0.98000002,0.01298781,0.28513919,100
102,20400,-0.98000002,0.01298781,0.28513919,100
103,20600,-0.98000002,0.01298781,0.28513919,100
104,20800,-0.98000002,0.01298781,0.28513919,100
105,21000,-0.98000002,0.01298781,0.28513919,100
106,21200,-0.98000002,0.01298781,0.28513919,100
107,21400,-0.98000002,0.01298781,0.28513919,100
108,21600,-0.98000002,0.01298781,0.28513919,100
109,21800,-0.98000002,0.01298781,0.28513919,100
110,22000,-0.98000002,0.01298781,0.28513919,100
111,22200,-0.98000002,0.01298781,0.28513919,100
112,22400,-0.98000002,0.01298781,0.28513919,100
113,22600,-0.98000002,0.01298781,0.28513919,100
114,22800,-0.98000002,0.01298781,0.28513919,100
115,23000,-0.98000002,0.01298781,0.28513919,100
116,23200,-0.98000002,0.01298781,0.28513919,100
117,23400,-0.98000002,0.01298781,0.28513919,100
118,23600,-0.98000002,0.01298781,0.28513919,100
119,23800,-0.98000002,0.01298781,0.28513919,100
120,24000,-0.98000002,0.01298781,0.28513919,100
121,24200,-0.98000002,0.01298781,0.28513919,100
122,24400,-0.98000002,0.01298781,0.28513919,100
123,24600,-0.98000002,0.01298781,0.28513919,100
124,24800,-0.98000002,0.01298781,0.28513919,100
125,25000,-0.98000002,0.01298781,0.28513919,100
126,25200,-0.98000002,0.01298781,0.28513919,100
127,25400,-0.98000002,0.01298781,0.28513919,100
128,25600,-0.98000002,0.01298781,0.28513919,100
129,25800,-0.98000002,0.01298781,0.28513919,100
130,26000,-0.98000002,0.01298781,0.28513919,100
131,26200,-0.98000002,0.01298781,0.28513919,100
132,26400,-0.98000002,0.01298781,0.28513919,100
133,26600,-0.98000002,0.01298781,0.28513919,100
134,26800,-0.98000002,0.01298781,0.28513919,100
135,27000,-0.98000002,0.01298781,0.28513919,100
136,27200,-0.98000002,0.01298781,0.28513919,100
137,27400,-0.98000002,0.01298781,0.28513919,100
