#Gen,#Eval,Communication Time,#con1,#con2,Num of feasible individuals
3,600,-0.57893586,0,0.17097649,1
4,800,-0.62591809,0,0.09019623,5
5,1000,-0.69666666,0.00333333,0.2746413,8
6,1200,-0.69666666,0.00333333,0.2746413,15
7,1400,-0.69666666,0.00333333,0.2746413,25
8,1600,-0.72131306,0.00666667,0.13283819,30
9,1800,-0.76968211,0.01,0.25880039,32
10,2000,-0.76968211,0.01,0.25880039,38
11,2200,-0.77228796,0.01,0.25035671,46
12,2400,-0.77511042,0.01,0.23307727,52
13,2600,-0.77855265,0.01,0.23593978,73
14,2800,-0.781739,0.01,0.23616579,77
15,3000,-0.7825135,0.01,0.23327984,91
16,3200,-0.78281391,0.01,0.23665834,94
17,3400,-0.783126,0.01,0.23477019,99
18,3600,-0.78320509,0.01,0.23515141,98
19,3800,-0.78327698,0.01,0.23543644,99
20,4000,-0.78331995,0.01,0.23559633,99
21,4200,-0.78331995,0.01,0.23559633,100
22,4400,-0.78332853,0.01,0.23562177,100
23,4600,-0.78333294,0.01,0.23563823,100
24,4800,-0.78333294,0.01,0.23563823,100
25,5000,-0.78333318,0.01,0.23563826,100
26,5200,-0.78333318,0.01,0.23563826,100
27,5400,-0.78333318,0.01,0.23563826,100
28,5600,-0.78333324,0.01,0.23563803,100
29,5800,-0.7833333,0.01,0.23563775,100
30,6000,-0.7833333,0.01,0.23563775,100
31,6200,-0.78333336,0.01,0.23563769,100
32,6400,-0.78333336,0.01,0.23563769,100
33,6600,-0.78333336,0.01,0.23563769,100
34,6800,-0.78333336,0.01,0.23563769,100
35,7000,-0.78333336,0.01,0.23563769,100
36,7200,-0.78333336,0.01,0.23563769,100
37,7400,-0.78333336,0.01,0.23563769,100
38,7600,-0.78333336,0.01,0.23563769,100
39,7800,-0.78333336,0.01,0.23563769,100
40,8000,-0.78333336,0.01,0.23563769,100
41,8200,-0.78333336,0.01,0.23563769,100
42,8400,-0.78333336,0.01,0.23563769,100
43,8600,-0.78333336,0.01,0.23563769,100
44,8800,-0.78333336,0.01,0.23563769,100
45,9000,-0.78333336,0.01,0.23563769,100
46,9200,-0.78333336,0.01,0.23563769,100
47,9400,-0.78333336,0.01,0.23563769,100
48,9600,-0.78333336,0.01,0.23563769,100
49,9800,-0.78333336,0.01,0.23563769,100
50,10000,-0.78333336,0.01,0.23563769,100
51,10200,-0.78333336,0.01,0.23563769,100
52,10400,-0.78333336,0.01,0.23563769,100
53,10600,-0.78333336,0.01,0.23563769,100
54,10800,-0.78333336,0.01,0.23563769,100
55,11000,-0.78333336,0.01,0.23563769,100
56,11200,-0.78333336,0.01,0.23563769,100
57,11400,-0.78333336,0.01,0.23563769,100
58,11600,-0.78333336,0.01,0.23563769,100
59,11800,-0.78333336,0.01,0.23563769,100
60,12000,-0.78333336,0.01,0.23563769,100
61,12200,-0.78333336,0.01,0.23563769,100
62,12400,-0.78333336,0.01,0.23563769,100
63,12600,-0.78333336,0.01,0.23563769,100
64,12800,-0.78333336,0.01,0.23563769,100
65,13000,-0.78333336,0.01,0.23563769,100
66,13200,-0.78333336,0.01,0.23563769,100
67,13400,-0.78333336,0.01,0.23563769,100
68,13600,-0.78333336,0.01,0.23563769,100
69,13800,-0.78333336,0.01,0.23563769,100
70,14000,-0.78333336,0.01,0.23563769,100
71,14200,-0.78333336,0.01,0.23563769,100
72,14400,-0.78333336,0.01,0.23563769,100
73,14600,-0.78333336,0.01,0.23563769,100
74,14800,-0.78333336,0.01,0.23563769,100
75,15000,-0.78333336,0.01,0.23563769,100
76,15200,-0.78333336,0.01,0.23563769,100
77,15400,-0.78333336,0.01,0.23563769,100
78,15600,-0.78333336,0.01,0.23563769,100
79,15800,-0.78333336,0.01,0.23563769,100
80,16000,-0.78333336,0.01,0.23563769,100
81,16200,-0.78333336,0.01,0.23563769,100
82,16400,-0.78333336,0.01,0.23563769,100
83,16600,-0.78333336,0.01,0.23563769,100
84,16800,-0.78333336,0.01,0.23563769,100
85,17000,-0.78333336,0.01,0.23563769,100
86,17200,-0.78333336,0.01,0.23563769,100
87,17400,-0.78333336,0.01,0.23563769,100
88,17600,-0.78333336,0.01,0.23563769,100
89,17800,-0.78333336,0.01,0.23563769,100
90,18000,-0.78333336,0.01,0.23563769,100
91,18200,-0.78333336,0.01,0.23563769,100
92,18400,-0.78333336,0.01,0.23563769,100
93,18600,-0.78333336,0.01,0.23563769,100
94,18800,-0.78333336,0.01,0.23563769,100
95,19000,-0.78333336,0.01,0.23563769,100
96,19200,-0.78333336,0.01,0.23563769,100
97,19400,-0.78333336,0.01,0.23563769,100
98,19600,-0.78333336,0.01,0.23563769,100
99,19800,-0.78333336,0.01,0.23563769,100
100,20000,-0.78333336,0.01,0.23563769,100
101,20200,-0.78333336,0.01,0.23563769,100
102,20400,-0.78333336,0.01,0.23563769,100
103,20600,-0.78333336,0.01,0.23563769,100
104,20800,-0.78333336,0.01,0.23563769,100
105,21000,-0.78333336,0.01,0.23563769,100
106,21200,-0.78333336,0.01,0.23563769,100
107,21400,-0.78333336,0.01,0.23563769,100
108,21600,-0.78333336,0.01,0.23563769,100
109,21800,-0.78333336,0.01,0.23563769,100
110,22000,-0.78333336,0.01,0.23563769,100
111,22200,-0.78333336,0.01,0.23563769,100
112,22400,-0.78333336,0.01,0.23563769,100
113,22600,-0.78333336,0.01,0.23563769,100
114,22800,-0.78333336,0.01,0.23563769,100
115,23000,-0.78333336,0.01,0.23563769,100
116,23200,-0.78333336,0.01,0.23563769,100
117,23400,-0.78333336,0.01,0.23563769,100
118,23600,-0.78333336,0.01,0.23563769,100
119,23800,-0.78333336,0.01,0.23563769,100
120,24000,-0.78333336,0.01,0.23563769,100
121,24200,-0.78333336,0.01,0.23563769,100
122,24400,-0.78333336,0.01,0.23563769,100
123,24600,-0.78333336,0.01,0.23563769,100
124,24800,-0.78333336,0.01,0.23563769,100
125,25000,-0.78333336,0.01,0.23563769,100
126,25200,-0.78333336,0.01,0.23563769,100
127,25400,-0.78333336,0.01,0.23563769,100
128,25600,-0.78333336,0.01,0.23563769,100
129,25800,-0.78333336,0.01,0.23563769,100
130,26000,-0.78333336,0.01,0.23563769,100
131,26200,-0.78333336,0.01,0.23563769,100
132,26400,-0.78333336,0.01,0.23563769,100
133,26600,-0.78333336,0.01,0.23563769,100
134,26800,-0.78333336,0.01,0.23563769,100
135,27000,-0.78333336,0.01,0.23563769,100
136,27200,-0.78333336,0.01,0.23563769,100
137,27400,-0.78333336,0.01,0.23563769,100
138,27600,-0.78333336,0.01,0.23563769,100
139,27800,-0.78333336,0.01,0.23563769,100
140,28000,-0.78333336,0.01,0.23563769,100
141,28200,-0.78333336,0.01,0.23563769,100
142,28400,-0.78333336,0.01,0.23563769,100
143,28600,-0.78333336,0.01,0.23563769,100
144,28800,-0.78333336,0.01,0.23563769,100
145,29000,-0.78333336,0.01,0.23563769,100
146,29200,-0.78333336,0.01,0.23563769,100
147,29400,-0.78333336,0.01,0.23563769,100
148,29600,-0.78333336,0.01,0.23563769,100
149,29800,-0.78333336,0.01,0.23563769,100
150,30000,-0.78333336,0.01,0.23563769,100
