#Gen,#Eval,Communication Time,#con1,#con2,Num of feasible individuals
72,14400,-0.78705317,0.01,0.22725214,1
73,14600,-0.78705317,0.01,0.22725214,0
74,14800,-0.78705317,0.01,0.22725214,1
75,15000,-0.78705317,0.01,0.22725214,0
76,15200,-0.78705317,0.01,0.22725214,0
77,15400,-0.78705317,0.01,0.22725214,0
78,15600,-0.78705317,0.01,0.22725214,1
79,15800,-0.78705317,0.01,0.22725214,2
80,16000,-0.78705317,0.01,0.22725214,0
81,16200,-0.78705317,0.01,0.22725214,0
82,16400,-0.78705317,0.01,0.22725214,0
83,16600,-0.78705317,0.01,0.22725214,0
84,16800,-0.78705317,0.01,0.22725214,0
85,17000,-0.78705317,0.01,0.22725214,0
86,17200,-0.78705317,0.01,0.22725214,1
87,17400,-0.78705317,0.01,0.22725214,0
88,17600,-0.78705317,0.01,0.22725214,1
89,17800,-0.78705317,0.01,0.22725214,0
90,18000,-0.78705317,0.01,0.22725214,0
91,18200,-0.78705317,0.01,0.22725214,0
92,18400,-0.78705317,0.01,0.22725214,1
93,18600,-0.78705317,0.01,0.22725214,0
94,18800,-0.78705317,0.01,0.22725214,0
95,19000,-0.78705317,0.01,0.22725214,0
96,19200,-0.78705317,0.01,0.22725214,0
97,19400,-0.78705317,0.01,0.22725214,0
98,19600,-0.78705317,0.01,0.22725214,0
99,19800,-0.78705317,0.01,0.22725214,0
100,20000,-0.78705317,0.01,0.22725214,0
101,20200,-0.78705317,0.01,0.22725214,0
102,20400,-0.78705317,0.01,0.22725214,0
103,20600,-0.78705317,0.01,0.22725214,1
104,20800,-0.78705317,0.01,0.22725214,0
105,21000,-0.78705317,0.01,0.22725214,0
106,21200,-0.78705317,0.01,0.22725214,0
107,21400,-0.78705317,0.01,0.22725214,0
108,21600,-0.78705317,0.01,0.22725214,0
109,21800,-0.78705317,0.01,0.22725214,0
110,22000,-0.78705317,0.01,0.22725214,0
111,22200,-0.78705317,0.01,0.22725214,0
112,22400,-0.78705317,0.01,0.22725214,0
113,22600,-0.78705317,0.01,0.22725214,0
114,22800,-0.78705317,0.01,0.22725214,0
115,23000,-0.78705317,0.01,0.22725214,0
116,23200,-0.78705317,0.01,0.22725214,0
117,23400,-0.78705317,0.01,0.22725214,0
118,23600,-0.78705317,0.01,0.22725214,0
119,23800,-0.78705317,0.01,0.22725214,0
120,24000,-0.78705317,0.01,0.22725214,0
121,24200,-0.78705317,0.01,0.22725214,0
122,24400,-0.78705317,0.01,0.22725214,0
123,24600,-0.78705317,0.01,0.22725214,1
124,24800,-0.78705317,0.01,0.22725214,2
125,25000,-0.78705317,0.01,0.22725214,1
126,25200,-0.78705317,0.01,0.22725214,0
127,25400,-0.78705317,0.01,0.22725214,0
128,25600,-0.78705317,0.01,0.22725214,2
129,25800,-0.78705317,0.01,0.22725214,0
130,26000,-0.78705317,0.01,0.22725214,0
131,26200,-0.78705317,0.01,0.22725214,1
132,26400,-0.78705317,0.01,0.22725214,0
133,26600,-0.78705317,0.01,0.22725214,1
134,26800,-0.78705317,0.01,0.22725214,0
135,27000,-0.78705317,0.01,0.22725214,0
136,27200,-0.78705317,0.01,0.22725214,0
137,27400,-0.78705317,0.01,0.22725214,0
138,27600,-0.78705317,0.01,0.22725214,0
139,27800,-0.78705317,0.01,0.22725214,0
140,28000,-0.78705317,0.01,0.22725214,0
141,28200,-0.78705317,0.01,0.22725214,1
142,28400,-0.78705317,0.01,0.22725214,0
143,28600,-0.78705317,0.01,0.22725214,0
144,28800,-0.78705317,0.01,0.22725214,0
145,29000,-0.78705317,0.01,0.22725214,1
146,29200,-0.78705317,0.01,0.22725214,0
147,29400,-0.78705317,0.01,0.22725214,0
148,29600,-0.78705317,0.01,0.22725214,0
149,29800,-0.78705317,0.01,0.22725214,0
150,30000,-0.78705317,0.01,0.22725214,0
