#Gen,#Eval,Communication Time,#con1,#con2,Num of feasible individuals
131,26200,-0.6667307,0,0.11012584,0
132,26400,-0.6667307,0,0.11012584,1
133,26600,-0.6667307,0,0.11012584,0
134,26800,-0.6667307,0,0.11012584,0
135,27000,-0.6667307,0,0.11012584,0
136,27200,-0.6667307,0,0.11012584,0
137,27400,-0.6667307,0,0.11012584,0
138,27600,-0.6667307,0,0.11012584,0
139,27800,-0.6667307,0,0.11012584,0
140,28000,-0.6667307,0,0.11012584,0
141,28200,-0.6667307,0,0.11012584,0
142,28400,-0.6667307,0,0.11012584,0
143,28600,-0.6667307,0,0.11012584,0
144,28800,-0.6667307,0,0.11012584,0
145,29000,-0.6667307,0,0.11012584,1
146,29200,-0.6667307,0,0.11012584,1
147,29400,-0.6667307,0,0.11012584,0
148,29600,-0.6667307,0,0.11012584,0
149,29800,-0.6667307,0,0.11012584,0
150,30000,-0.6667307,0,0.11012584,1
